Drew, Lillian (II)	The Grapes of Wrath	1940
Guilfoyle, Paul (I)	The Grapes of Wrath	1940
Middleton, Charles (I)	The Grapes of Wrath	1940
Shumway, Lee	The Grapes of Wrath	1940
Bowdon, Dorris	The Grapes of Wrath	1940
Ring, Cyril	The Great Dictator	1940
Hall, Edna	The Grapes of Wrath	1940
Holden, Harry	The Grapes of Wrath	1940
Reeves, Bob (I)	The Grapes of Wrath	1940
Edwards, Thornton	The Grapes of Wrath	1940
Moorhouse, Bert	The Great Dictator	1940
Goddard, Paulette	The Great Dictator	1940
Davis, W.H.	The Grapes of Wrath	1940
McHugh, Kitty	The Grapes of Wrath	1940
Corrado, Gino	The Great Dictator	1940
Hare, Lumsden	Rebecca	1940
Turner, D.H.	The Grapes of Wrath	1940
Lease, Rex	The Grapes of Wrath	1940
Flavin, James	The Grapes of Wrath	1940
Perry, Walter (I)	The Grapes of Wrath	1940
Walters, Jack (I)	The Grapes of Wrath	1940
Grapewin, Charley	The Grapes of Wrath	1940
Tenbrook, Harry	The Grapes of Wrath	1940
Gardiner, Reginald	The Great Dictator	1940
Roy, Gloria (I)	The Grapes of Wrath	1940
Flaherty, Pat (I)	The Great Dictator	1940
Gilmore, Barney	The Grapes of Wrath	1940
Morris, Philip (I)	The Grapes of Wrath	1940
Geary, Bud	The Great Dictator	1940
Schumm, Hans	The Great Dictator	1940
Worth, Bill	The Grapes of Wrath	1940
Plumer, Rose	The Grapes of Wrath	1940
Irving, William (I)	The Great Dictator	1940
Mason, Louis	The Grapes of Wrath	1940
Bruce, Nigel	Rebecca	1940
DeHaven, Carter (I)	The Great Dictator	1940
Pindon, Walton	The Grapes of Wrath	1940
Prival, Lucien	The Great Dictator	1940
Brown, Charles D. (I)	The Grapes of Wrath	1940
Steele, C.B.	The Grapes of Wrath	1940
Tilbury, Zeffie	The Grapes of Wrath	1940
Conried, Hans	The Great Dictator	1940
Ryan, Peggy	The Grapes of Wrath	1940
Cohen, Cal	The Grapes of Wrath	1940
Hickman, Darryl	The Grapes of Wrath	1940
Kirkland, David (I)	The Grapes of Wrath	1940
Davis, Lew	The Great Dictator	1940
Anderson, Robert J.	The Grapes of Wrath	1940
Brown, Scotty (II)	The Grapes of Wrath	1940
Clark, Cliff (I)	The Grapes of Wrath	1940
Pendleton, Steve (I)	The Grapes of Wrath	1940
Semels, Harry (I)	The Great Dictator	1940
Tyler, Tom (I)	The Grapes of Wrath	1940
Welch, Jim (I)	The Grapes of Wrath	1940
Cording, Harry (I)	The Grapes of Wrath	1940
Rekwart, Waclaw	The Grapes of Wrath	1940
Crowley, Jane (I)	The Grapes of Wrath	1940
Costello, Delmar	The Grapes of Wrath	1940
Brace, Leon	The Grapes of Wrath	1940
Davidson, John (I)	The Great Dictator	1940
Gerdes, Emily	The Grapes of Wrath	1940
Breakston, George P.	The Grapes of Wrath	1940
Pennick, Jack	The Grapes of Wrath	1940
Darien, Frank	The Grapes of Wrath	1940
O'Hara, George (I)	The Grapes of Wrath	1940
Gribbon, Eddie	The Great Dictator	1940
Qualen, John	The Grapes of Wrath	1940
Sutton, Paul (I)	The Grapes of Wrath	1940
Mitchell, Grant (I)	The Grapes of Wrath	1940
Anderson, Judith (I)	Rebecca	1940
Darwell, Jane	The Grapes of Wrath	1940
Ford, Francis (I)	The Grapes of Wrath	1940
Hall, Ben (I)	The Grapes of Wrath	1940
Jewell, Hollis	The Grapes of Wrath	1940
Meyer, Torben	The Great Dictator	1940
Carroll, Leo G.	Rebecca	1940
Hart, Eddie	The Great Dictator	1940
Lawrence, Lillian (II)	The Grapes of Wrath	1940
Bates, Florence	Rebecca	1940
Mattraw, Scotty	The Grapes of Wrath	1940
Bardette, Trevor	The Grapes of Wrath	1940
Davidson, Max (I)	The Great Dictator	1940
Watson, Frank (II)	The Grapes of Wrath	1940
Corrado, Gino	The Grapes of Wrath	1940
Walker, Leonard	The Great Dictator	1940
Cooper, Melville	Rebecca	1940
