Gilbert, Bertie (I)	Harry Potter and the Deathly Hallows: Part 2	2011
Rickman, Alan (I)	Harry Potter and the Deathly Hallows: Part 2	2011
Smith, Maggie (I)	Harry Potter and the Deathly Hallows: Part 2	2011
Scott, Philip A	The Help	2011
Sudduth, Jordan	The Help	2011
Gotobed, Rohan	Harry Potter and the Deathly Hallows: Part 2	2011
Botsford, Jason	Warrior	2011
Hurt, John	Harry Potter and the Deathly Hallows: Part 2	2011
Mohammadzade, Manuchehr	Jodaeiye Nader az Simin	2011
Moran, Nick (I)	Harry Potter and the Deathly Hallows: Part 2	2011
Shahbazi, Bahare	Jodaeiye Nader az Simin	2011
Isaacs, Jason	Harry Potter and the Deathly Hallows: Part 2	2011
Finch, Ninette	Harry Potter and the Deathly Hallows: Part 2	2011
Janane, Hamid	Jodaeiye Nader az Simin	2011
Leung, Katie	Harry Potter and the Deathly Hallows: Part 2	2011
Henry, Emma (I)	The Help	2011
McCrory, Helen	Harry Potter and the Deathly Hallows: Part 2	2011
Bradley, David (IV)	Harry Potter and the Deathly Hallows: Part 2	2011
Azimiyannezhad, Shirin	Jodaeiye Nader az Simin	2011
Thomas, Lonnie (V)	Warrior	2011
Allgood, Anthony	Harry Potter and the Deathly Hallows: Part 2	2011
Bodomov, Rustic	Warrior	2011
Poésy, Clémence	Harry Potter and the Deathly Hallows: Part 2	2011
Dane, Valerie	Harry Potter and the Deathly Hallows: Part 2	2011
Cooper, Diana (II)	The Help	2011
Mollet, Clotilde	Intouchables	2011
Mooney, Michelle Dawn	Warrior	2011
Henderson, Marki (I)	Warrior	2011
Zare'i, Merila	Jodaeiye Nader az Simin	2011
Lee, Carol (XV)	The Help	2011
Thompson, Emma (I)	Harry Potter and the Deathly Hallows: Part 2	2011
Bonham Carter, Helena	Harry Potter and the Deathly Hallows: Part 2	2011
Anthony, Alain	Intouchables	2011
Warman, John	Harry Potter and the Deathly Hallows: Part 2	2011
Wright, Bonnie (I)	Harry Potter and the Deathly Hallows: Part 2	2011
Laurent, Antoine (I)	Intouchables	2011
McCue, Tom (II)	Warrior	2011
Tayebi, Peyman	Jodaeiye Nader az Simin	2011
Papworth, Toby	Harry Potter and the Deathly Hallows: Part 2	2011
Montgomery Jr., Rick	Warrior	2011
Harrison, Natalie (I)	Harry Potter and the Deathly Hallows: Part 2	2011
Gleeson, Domhnall	Harry Potter and the Deathly Hallows: Part 2	2011
Key, Jon	Harry Potter and the Deathly Hallows: Part 2	2011
Evans, Rashad (I)	Warrior	2011
Hinds, Ciarán	Harry Potter and the Deathly Hallows: Part 2	2011
Grint, Rupert	Harry Potter and the Deathly Hallows: Part 2	2011
Asghari, Mohammadhasan	Jodaeiye Nader az Simin	2011
Weaver, Paul (V)	Warrior	2011
Ghodrati, Nafise	Jodaeiye Nader az Simin	2011
Hosseini, Roya	Jodaeiye Nader az Simin	2011
Vogel, Mike (I)	The Help	2011
Osmond, Lisa	Harry Potter and the Deathly Hallows: Part 2	2011
Killebrew, Mary Taylor	The Help	2011
Sutton, Carol	The Help	2011
Tehranchi, Maria	Jodaeiye Nader az Simin	2011
Bayat, Sareh	Jodaeiye Nader az Simin	2011
Watson, Emma (II)	Harry Potter and the Deathly Hallows: Part 2	2011
Gross, John P.	Warrior	2011
Dreussi, James	Warrior	2011
Montgomery, Ritchie	The Help	2011
Winogradoff, Michel	Intouchables	2011
Gibbins, Diane	Harry Potter and the Deathly Hallows: Part 2	2011
Caron, François	Intouchables	2011
Phillips, Sian Grace	Harry Potter and the Deathly Hallows: Part 2	2011
Thewlis, David	Harry Potter and the Deathly Hallows: Part 2	2011
Rawlins, Adrian	Harry Potter and the Deathly Hallows: Part 2	2011
Tyson, Cicely	The Help	2011
Byrne, Scarlett	Harry Potter and the Deathly Hallows: Part 2	2011
Barlow, Helena	Harry Potter and the Deathly Hallows: Part 2	2011
Wiles, Amy	Harry Potter and the Deathly Hallows: Part 2	2011
Clarke, Benedict	Harry Potter and the Deathly Hallows: Part 2	2011
Nolte, Nick	Warrior	2011
Cooper, Charles (XVI)	The Help	2011
Ivey, Dana	The Help	2011
Marquardt, Nathan	Warrior	2011
Marcucci, Nick	Warrior	2011
Paradise, Ariella	Harry Potter and the Deathly Hallows: Part 2	2011
Kania, William (I)	Warrior	2011
Kirwood, Tony	Harry Potter and the Deathly Hallows: Part 2	2011
Martinez, Vanessa (I)	Warrior	2011
Cvetic, Jimmy	Warrior	2011
Caldwell, Dan (IV)	Warrior	2011
Nameni, Majid	Jodaeiye Nader az Simin	2011
Lehane, Nick	Warrior	2011
Nardozzi, Phil	Warrior	2011
Lott, Lamar	The Help	2011
Radcliffe, Daniel	Harry Potter and the Deathly Hallows: Part 2	2011
Henry, Dominique (II)	Intouchables	2011
Ursy, Kathryn	The Help	2011
Salmela, Keijo	Harry Potter and the Deathly Hallows: Part 2	2011
Moon, Jeremy (I)	Warrior	2011
Heyman, Harper	Harry Potter and the Deathly Hallows: Part 2	2011
George, Sean Francis	Harry Potter and the Deathly Hallows: Part 2	2011
Campbell, Corie	Warrior	2011
Kerwin, Brian	The Help	2011
Greenwell, Stuart	The Help	2011
Campling, Jon	Harry Potter and the Deathly Hallows: Part 2	2011
Alberts, Elyse	Warrior	2011
Morrison, Jennifer (II)	Warrior	2011
Scherer, Chas	Warrior	2011
Biggerstaff, Sean (I)	Harry Potter and the Deathly Hallows: Part 2	2011
Digman, Jake	Warrior	2011
Sharp, Judith	Harry Potter and the Deathly Hallows: Part 2	2011
Ward, Stephanie (IV)	The Help	2011
Mowery, Jeffrey	Warrior	2011
Steenburgen, Mary	The Help	2011
Stone, Emma (III)	The Help	2011
Saxton, Granville	Harry Potter and the Deathly Hallows: Part 2	2011
Gambon, Michael	Harry Potter and the Deathly Hallows: Part 2	2011
Brown, Noah (III)	Warrior	2011
Moaadi, Peyman	Jodaeiye Nader az Simin	2011
Strayer, Lambert R.	Warrior	2011
Wilding, Spencer	Harry Potter and the Deathly Hallows: Part 2	2011
Taylor, John (XCVII)	The Help	2011
Barneron, Pierre-Laurent	Intouchables	2011
Aston, Michael (III)	Harry Potter and the Deathly Hallows: Part 2	2011
Desbaux, Sheri	Harry Potter and the Deathly Hallows: Part 2	2011
Lorentz, Cindy (II)	Warrior	2011
Cave, Jessie	Harry Potter and the Deathly Hallows: Part 2	2011
Cayrey, Jean-François	Intouchables	2011
Ortenzio, Francesca	Warrior	2011
Baroche, Benjamin	Intouchables	2011
Carpenter, Henry	The Help	2011
Rafi'i, Mahmoud	Jodaeiye Nader az Simin	2011
Booker, Lloyd	Warrior	2011
Cox, Etta	Warrior	2011
Stevens, Daniel (II)	Warrior	2011
Mason, Andre'	Warrior	2011
Mitichyan, Roman	Warrior	2011
Hodgkin, Matthew	Harry Potter and the Deathly Hallows: Part 2	2011
McGuire, Ashley (I)	Harry Potter and the Deathly Hallows: Part 2	2011
Kraghede Bellugi, Alba Gaïa	Intouchables	2011
