Kochi, Sawako	Ran	1985
Matsui, Norio	Ran	1985
Pîtâ	Ran	1985
Petrasek, Karen	Back to the Future	1985
Tangen, Tom	Back to the Future	1985
Yamashita, Tetsuo (III)	Ran	1985
Pope, Tony (I)	Back to the Future	1985
Otowa, Kumeko	Ran	1985
Mironova, Olga	Idi i smotri	1985
Hare, Will (I)	Back to the Future	1985
Campbell, Charles L.	Back to the Future	1985
Lorents, Viktor	Idi i smotri	1985
Riley, Gary (I)	Back to the Future	1985
McCain, Frances Lee	Back to the Future	1985
Rabetsky, Kazimir	Idi i smotri	1985
Siemaszko, Casey	Back to the Future	1985
Amada, Masuo	Ran	1985
Wilson, Thomas F.	Back to the Future	1985
Bethune, Ivy	Back to the Future	1985
O'Haco, Jeff	Back to the Future	1985
Fox, Michael J. (I)	Back to the Future	1985
Brewton, Maia	Back to the Future	1985
Nomura, Mansai	Ran	1985
Polyakova, Yevgeniya	Idi i smotri	1985
Tazaki, Jun	Ran	1985
Nezu, Jinpachi	Ran	1985
Manaev, Viktor	Idi i smotri	1985
Hanson, Paul (II)	Back to the Future	1985
Oki, Ryûjirô	Ran	1985
Brownfield, Lee	Back to the Future	1985
Hitler, Adolf	Idi i smotri	1985
Ito, Toshiya	Ran	1985
Matytsky, Gennadiy	Idi i smotri	1985
Tolbert, Lloyd L.	Back to the Future	1985
Willett, Tom (I)	Back to the Future	1985
Miyazaki, Yoshiko (I)	Ran	1985
Brown, David Harold	Back to the Future	1985
Kanda, Tokie	Ran	1985
Kodama, Kenji (I)	Ran	1985
Terajima, Susumu	Ran	1985
Domrachyov, Vasiliy	Idi i smotri	1985
Tilicheev, Evgeniy	Idi i smotri	1985
Yui, Masayuki (I)	Ran	1985
Thomas, Tommy (I)	Back to the Future	1985
Sakurai, Masaru (I)	Ran	1985
Strokov, Georgiy	Idi i smotri	1985
Glover, Crispin	Back to the Future	1985
Lloyd, Christopher (I)	Back to the Future	1985
Katô, Seizô	Ran	1985
Kauffman, Cristen	Back to the Future	1985
Laucevicius, Liubomiras	Idi i smotri	1985
Tôgô, Haruko	Ran	1985
Harada, Mieko (III)	Ran	1985
Kawai, Hanbei	Ran	1985
Lumiste, Jüri	Idi i smotri	1985
DeLapp, Robert (I)	Back to the Future	1985
Velts, G.	Idi i smotri	1985
Alden, Norman	Back to the Future	1985
Sway, Ethel	Back to the Future	1985
Nakadai, Tatsuya	Ran	1985
Sperber, Wendie Jo	Back to the Future	1985
Marin, Jason (I)	Back to the Future	1985
Matyullin, Takhir	Idi i smotri	1985
Shapko, Oleg	Idi i smotri	1985
King-Lasky, D'Janine	Back to the Future	1985
Raven, Elsa	Back to the Future	1985
Parker, Sachi	Back to the Future	1985
Hibi, Yûichi	Ran	1985
Ueki, Hitoshi	Ran	1985
Bagdonas, Vladas	Idi i smotri	1985
Krantz, Robert (I)	Back to the Future	1985
Gains, Courtney	Back to the Future	1985
Duran, Richard L.	Back to the Future	1985
Freeman, Lisa (I)	Back to the Future	1985
Shestakova, Tatyana	Idi i smotri	1985
Sasaki, Masaaki (I)	Ran	1985
Abbott, Jamie (I)	Back to the Future	1985
Sugizaki, Akihiko	Ran	1985
Kryzhanovskiy, Evgeniy	Idi i smotri	1985
Wells, Claudia (I)	Back to the Future	1985
Morgan, Read	Back to the Future	1985
Zane, Billy	Back to the Future	1985
Slivnikov, Anatoly	Idi i smotri	1985
Katô, Takeshi (I)	Ran	1985
Lewis, Huey	Back to the Future	1985
Katô, Kazuo (II)	Ran	1985
Waters Jr., Harry	Back to the Future	1985
DiCenzo, George	Back to the Future	1985
Gnevashev, Igor (I)	Idi i smotri	1985
Vasilyev, V. (III)	Idi i smotri	1985
Watanabe, Takashi (V)	Ran	1985
Yamaguchi, Yoshimitsu	Ran	1985
Flower, George 'Buck'	Back to the Future	1985
Nagasawa, Ryo	Ran	1985
Ryû, Daisuke	Ran	1985
Yelkin, G.	Idi i smotri	1985
Suzuki, Heihachiro	Ran	1985
Tovey, Arthur	Back to the Future	1985
Cohen, J.J.	Back to the Future	1985
Kimura, Sakae (I)	Ran	1985
Harmon, Deborah	Back to the Future	1985
Thompson, Lea (I)	Back to the Future	1985
Fullilove, Donald	Back to the Future	1985
Lisichenok, N.	Idi i smotri	1985
Zushi, Takao	Ran	1985
Kravchenko, Aleksey (I)	Idi i smotri	1985
Hervey, Jason	Back to the Future	1985
Tolkan, James	Back to the Future	1985
Merkurev, Pyotr	Idi i smotri	1985
Nanjo, Reiko	Ran	1985
Mishatkin, Valentin	Idi i smotri	1985
Britton, Katherine	Back to the Future	1985
Berda, Aleksandr	Idi i smotri	1985
Terao, Akira (I)	Ran	1985
Green, Johnny (V)	Back to the Future	1985
Igawa, Hisashi	Ran	1985
Zushi, Yoshitaka	Ran	1985
Young, Granville 'Danny'	Back to the Future	1985
McClure, Marc (I)	Back to the Future	1985
