Willis, Bruce	Sin City	2005
Porter, Catherine (I)	Batman Begins	2005
Steven-Daly, Emily	Batman Begins	2005
Perkins, John (IV)	Batman Begins	2005
Poots, Imogen	V for Vendetta	2005
Graves, Rupert (II)	V for Vendetta	2005
Kranz, Charlie (I)	Batman Begins	2005
Pigott-Smith, Tim	V for Vendetta	2005
Marsan, Eddie	V for Vendetta	2005
Dashnaw, Jeffrey J.	Sin City	2005
Hartnett, Josh (I)	Sin City	2005
McFarlane, Colin (I)	Batman Begins	2005
Bale, Christian	Batman Begins	2005
How, Keith	V for Vendetta	2005
Legeno, Dave	Batman Begins	2005
Kellicut, Conor	Batman Begins	2005
Bradshaw, Oliver	V for Vendetta	2005
Yuan, Roger	Batman Begins	2005
Rye, Joseph	Batman Begins	2005
Judd, John (III)	Batman Begins	2005
Ryan, Rodney (I)	Batman Begins	2005
Wilkinson, Tom (I)	Batman Begins	2005
Panakal, Allen	Batman Begins	2005
Buozzi, Jay	Batman Begins	2005
Savva, Mike	Batman Begins	2005
Newby, Simon	V for Vendetta	2005
Kirk, Helen (I)	Sin City	2005
Brown, Julie (VI)	V for Vendetta	2005
Bledel, Alexis	Sin City	2005
Senozan, Can	Babam ve Oglum	2005
Lewis, Gus	Batman Begins	2005
Ankomah, Kwaku	Batman Begins	2005
Sargent, Joe (I)	Batman Begins	2005
Merheb, David	V for Vendetta	2005
Sezer, Serif	Babam ve Oglum	2005
Fradin, Ilyssa	Batman Begins	2005
Dickinson, Ian T.	V for Vendetta	2005
Ansah, Joey	Batman Begins	2005
Avci, Mücahit	Babam ve Oglum	2005
Cardascia, Fabio	Batman Begins	2005
Katt, Nicky	Sin City	2005
Nolan, Tom (I)	Batman Begins	2005
Burgess, Dominic (I)	Batman Begins	2005
Laing, Richard (I)	Batman Begins	2005
Laing, Richard (I)	V for Vendetta	2005
Bedella, David	Batman Begins	2005
Taylor, Mel (IV)	Batman Begins	2005
Rains, Ethan	Sin City	2005
Flanagan, Tommy (I)	Sin City	2005
Greenwood, Laura (I)	V for Vendetta	2005
Lockhart, Emma	Batman Begins	2005
Tanner, Jeff (I)	Batman Begins	2005
