Briscoe, Brent	The Green Mile	1999
Valdez, Alekxia	Fight Club	1999
Dodd, Steve	The Matrix	1999
Norton, Edward (I)	Fight Club	1999
Sadler, William (I)	The Green Mile	1999
Silva, Gregory	Fight Club	1999
Wiles, Michael Shamus	Fight Club	1999
Kearney-Patch, Kate	The Sixth Sense	1999
Lyons, Michael J. (I)	The Sixth Sense	1999
McCallany, Holt	Fight Club	1999
Casale, Matt	The Sixth Sense	1999
Spacey, Kevin	American Beauty	1999
Birch, Thora	American Beauty	1999
Lopez, Carlos Xavier (I)	The Sixth Sense	1999
Cromwell, James (I)	The Green Mile	1999
Woodward, Lawrence	The Matrix	1999
Bickford, Valerie	Fight Club	1999
Holman, Bruce	Fight Club	1999
Sher, Heather Joy	American Beauty	1999
Willis, Bruce	The Sixth Sense	1999
Livingston, Tyrone R.	Fight Club	1999
Anderson, Nancy (II)	American Beauty	1999
Carnick, Andi	Fight Club	1999
Klingler, Rebecca	The Green Mile	1999
Bentley, Wes	American Beauty	1999
Hertford, Chelsea	American Beauty	1999
Quattro, Van	Fight Club	1999
Drucker, Evanne	The Green Mile	1999
Jenkins, Jim (I)	Fight Club	1999
Randau, Chad	Fight Club	1999
Dell, Charlie (I)	Fight Club	1999
Tasco, Rai	The Green Mile	1999
Allegro, Gina	The Sixth Sense	1999
Hawn, Phil	The Green Mile	1999
Osment, Haley Joel	The Sixth Sense	1999
Celi, Ara	American Beauty	1999
Chong, Marcus	The Matrix	1999
Bailey, Eion	Fight Club	1999
Lanza, Rob	Fight Club	1999
Meat Loaf	Fight Club	1999
Heywood, Wes	The Sixth Sense	1999
Witt, Rowan	The Matrix	1999
Bowersox, Bob	The Sixth Sense	1999
Young, Bill (I)	The Matrix	1999
Corral Kendall, Elaine	American Beauty	1999
Cronenweth, Christie	Fight Club	1999
Ciarfalio, Carl (III)	Fight Club	1999
Lea, Ronnie	The Sixth Sense	1999
Robinson, Robby (I)	Fight Club	1999
Tjen, Natalie	The Matrix	1999
Shaw, Garth	The Green Mile	1999
Bonham Carter, Helena	Fight Club	1999
Greenwood, Christopher (I)	The Green Mile	1999
Bronson, Greg	Fight Club	1999
Gossom Jr., Thom	Fight Club	1999
Rizzo, Stephanie	American Beauty	1999
Winokur, Marissa Jaret	American Beauty	1999
Falzone, Tom	Fight Club	1999
