Maron, Hanna	M	1931
Waldis, Otto	M	1931
Trutz, Wolf	M	1931
Erlenborn, Ray	City Lights	1931
Hammond, Charles (I)	City Lights	1931
Lee, Florence (II)	City Lights	1931
McIntyre, Leila	City Lights	1931
Stabenau, Tony	City Lights	1931
Ward, Tiny	City Lights	1931
Lorre, Peter (I)	M	1931
Myers, Harry (I)	City Lights	1931
Moos, Trude	M	1931
Junge-Swinburne, Karl	M	1931
Netto, Hadrian Maria	M	1931
Sablotzki, Max	M	1931
Reissig, Bertold	M	1931
Kepich, Werner	M	1931
Parrish, Robert (I)	City Lights	1931
Valetti, Rosa	M	1931
Diego, Peter	City Lights	1931
Mederow, Paul	M	1931
Loretto, Alfred	M	1931
Nied, Katharina	M	1931
Blair, Betty	City Lights	1931
Baker, Eddie (I)	City Lights	1931
Pauly, Edgar	M	1931
Wernicke, Otto	M	1931
Loos, Theodor	M	1931
Cherrill, Virginia	City Lights	1931
Isenta, Ellen	M	1931
Lichtenstein, Rose	M	1931
Gnaß, Friedrich	M	1931
Widmann, Ellen	M	1931
Wheatcroft, Stanhope	City Lights	1931
Slocum, Cy	City Lights	1931
Rebane, Eduard	M	1931
Oliver, Margaret (I)	City Lights	1931
Eckhoff, J.A.	M	1931
Steckel, Leonard	M	1931
Bienert, Gerhard	M	1931
Leeser, Kurth	M	1931
Balhaus, Carl	M	1931
Redmond, Granville	City Lights	1931
Gründgens, Gustaf	M	1931
Nurney, Fred	M	1931
Keeler, Willie	City Lights	1931
Odemar, Fritz	M	1931
Herman, Ad	City Lights	1931
Robinson, W.C.	City Lights	1931
Melzer, Margarete	M	1931
Ehser, Else	M	1931
Gretler, Heinrich	M	1931
Strong, Mark (I)	City Lights	1931
Chaplin, Charles	City Lights	1931
Karchow, Albert	M	1931
John, Georg	M	1931
Hoermann, Albert (I)	M	1931
Schulz-Lichterfeld, Agnes	M	1931
Ziener, Bruno	M	1931
Carpenter, Jeanne	City Lights	1931
Wanka, Rolf	M	1931
Jewell, Austen	City Lights	1931
Loebinger, Lotte	M	1931
Norden, Maya	M	1931
Wagner, Emmett	City Lights	1931
Harlow, Jean (I)	City Lights	1931
Pope, Mrs.	City Lights	1931
Hadank, Günther	M	1931
Elzer, Karl	M	1931
Brodie, Buster	City Lights	1931
von Walther, Hertha	M	1931
Austin, Albert	City Lights	1931
Donnelly, James (I)	City Lights	1931
Graves, Robert (I)	City Lights	1931
Krehan, Hermann (I)	M	1931
Dempsey, Tom (II)	City Lights	1931
Pohl, Klaus (I)	M	1931
Fürstenberg, Ilse	M	1931
Lane, A.B.	City Lights	1931
Alexander, Victor (IV)	City Lights	1931
Gotho, Heinrich	M	1931
Alexander, T.S.	City Lights	1931
Bergman, Henry (I)	City Lights	1931
Rehkopf, Paul	M	1931
Rhaden, Ernst	M	1931
Dahmen, Josef	M	1931
Garcia, Ruth (IV)	City Lights	1931
Alexander, Jack (III)	City Lights	1931
Mann, Hank (I)	City Lights	1931
Cooper, Marie (I)	City Lights	1931
Stein, Franz	M	1931
Garcia, Al Ernest	City Lights	1931
Blümner, Rudolf	M	1931
Carrell, Behal	M	1931
Platen, Karl	M	1931
Van Meter, Joe	City Lights	1931
Sutherland, Jack (I)	City Lights	1931
Neumann, Günter (I)	M	1931
Sheldon, James (II)	City Lights	1931
Landgut, Inge	M	1931
Lohde, Sigurd	M	1931
Neumann-Schüler	M	1931
Rand, John (I)	City Lights	1931
Ritter, Hans (I)	M	1931
Gowman, Milton	City Lights	1931
Goltz, Anna	M	1931
Kemp, Paul (I)	M	1931
Herrick, Joseph	City Lights	1931
Lingen, Theo	M	1931
Poland, Franz	M	1931
McAuliffe, Eddie	City Lights	1931
Stahl-Nachbaur, Ernst	M	1931
Ayers, Harry	City Lights	1931
Walth, Borwin	M	1931
