Hoffman, Alex (XIII)	Shutter Island	2010
Jamal, Sam	Incendies	2010
Murray, Jack (III)	Inception	2010
Altman, Allen	Incendies	2010
Khalifah, Christine Aubin	Incendies	2010
DiCaprio, Leonardo	Inception	2010
Gaudette, Maxim	Incendies	2010
Rao, Dileep	Inception	2010
Elayan, Ali	Incendies	2010
Downes, Robin Atkin	How to Train Your Dragon	2010
D'Costa, Ryan	Udaan	2010
Nathenson, Angela	Inception	2010
Lowney, Daniel	Shutter Island	2010
Watanabe, Ken (I)	Inception	2010
Willis, Jack (I)	Toy Story 3	2010
Alami, Bader	Incendies	2010
Eagleton, Julie	Inception	2010
Roy, Ruchika	Udaan	2010
Faris, Rand	Incendies	2010
Wooten, Darryl	Shutter Island	2010
Nizam, Mohammad	Udaan	2010
Carney, Danny (I)	Shutter Island	2010
Das, Jayanta (I)	Udaan	2010
Lynch, John Carroll	Shutter Island	2010
Latif, Fadel Abdel	Incendies	2010
Kingsley, Ben	Shutter Island	2010
Metcalf, Laurie	Toy Story 3	2010
Stover, Eddie	Shutter Island	2010
von Sydow, Max (I)	Shutter Island	2010
Michailidis, Gia	Toy Story 3	2010
Dagory, Jean-Michel	Inception	2010
Sengupta, Shaunak	Udaan	2010
Kayser, Theodore F.	Toy Story 3	2010
Jerins, Ruby	Shutter Island	2010
Ratzenberger, John (I)	Toy Story 3	2010
Lynn, Sherry (I)	Toy Story 3	2010
Nolan, Magnus	Inception	2010
Majd, Mohamed	Incendies	2010
Cheeseman, Ken	Shutter Island	2010
Gerhard, Lars	Shutter Island	2010
von Detten, Erik	Toy Story 3	2010
Koni, Nabil	Incendies	2010
Kabbani, Baker	Incendies	2010
Massad, Ahmad	Incendies	2010
Auclair, Robert	Incendies	2010
Fanni, Ramzi	Incendies	2010
Cowles, Matthew	Shutter Island	2010
Taylor, James Arnold	How to Train Your Dragon	2010
Allen, Tim (I)	Toy Story 3	2010
Geare, Claire (I)	Inception	2010
Hweidi, Abdallah	Incendies	2010
Hazim, Rehab	Incendies	2010
